Vernier Format 2
1.71 m.cmbl 9/24/2015 12:39:31 .
Latest
Time	Temperature
t	Temp
s	°C

Vernier Format 2
1.71 m.cmbl 9/24/2015 12:39:31 .
Run 1
Time	Temperature
t	Temp
s	°C

129	-5.19219910371
129.5	-5.18760607656
130	-5.17612622009
130.5	-5.19449584981
131	-5.21057741609
131.5	-5.21057741609
132	-5.22666659126
132.5	-5.24506355091
133	-5.24046337709
133.5	-5.23586382604
134	-5.24736387144
134.5	-5.23126489752
135	-5.24966434776
135.5	-5.24506355091
136	-5.25656671177
136.5	-5.2519649799
137	-5.22666659126
137.5	-5.24046337709
138	-5.23586382604
138.5	-5.23126489752
139	-5.23586382604
139.5	-5.22206890702
140	-5.23586382604
140.5	-5.2519649799
141	-5.23586382604
141.5	-5.25656671177
142	-5.24506355091
142.5	-5.2519649799
143	-5.25656671177
143.5	-5.24736387144
144	-5.23126489752
144.5	-5.23586382604
145	-5.20138701864
145.5	-5.05467691943
146	-4.88582490643
146.5	-4.68157683566
147	-4.46503497456
147.5	-4.20070237687
148	-4.05372099276
148.5	-4.17616271627
149	-4.40661991925
149.5	-4.60698781588
150	-4.74045756714
150.5	-4.78581894133
151	-4.8426048241
151.5	-4.8607961272
152	-4.89720765784
152.5	-4.94505649492
153	-4.95645892445
153.5	-5.01124349453
154	-5.06153987756
154.5	-5.09587537433
155	-5.10503734383
155.5	-5.13712363454
156	-5.15547222898
156.5	-5.17153536141
157	-5.19219910371
157.5	-5.20598190692
158	-5.22206890702
158.5	-5.25656671177
159	-5.28188739176
159.5	-5.29109959745
160	-5.30722697971
160.5	-5.32105655776
161	-5.34642545047
161.5	-5.35104001822
162	-5.36719595948
162.5	-5.36027104062
163	-5.36719595948
163.5	-5.3810500491
164	-5.40646395765
164.5	-5.39722032672
165	-5.39259945856
165.5	-5.40646395765
166	-5.41802205141
166.5	-5.42264639577
167	-5.41339833967
167.5	-5.43189698337
168	-5.43189698337
168.5	-5.44115010456
169	-5.43189698337
169.5	-5.40877526029
170	-5.42264639577
170.5	-5.41802205141
171	-5.40646395765
171.5	-5.40646395765
172	-5.42264639577
172.5	-5.41108672095
173	-5.41802205141
173.5	-5.41339833967
174	-5.41802205141
174.5	-5.427271373
175	-5.44346378097
175.5	-5.45272007203
176	-5.45734916928
176.5	-5.46660926849
177	-5.47124027098
177.5	-5.4689246903
178	-5.46660926849
178.5	-5.49208765149
179	-5.49208765149
179.5	-5.49440482263
180	-5.50831119438
241	-5.94229083519
241.5	-5.93759429725
242	-5.94698803579
242.5	-5.95873393826
243	-5.9328984217
243.5	-5.93759429725
244	-5.95168589934
244.5	-5.95403507979
245	-5.95873393826
245.5	-5.96343346036
246	-5.95873393826
246.5	-5.96813364636
247	-5.9775360112
247.5	-5.98458952964
248	-5.98458952964
248.5	-5.95873393826
249	-5.95873393826
249.5	-5.94698803579
250	-5.94698803579
250.5	-5.95403507979
251	-5.9775360112
251.5	-5.9775360112
252	-5.97283449655
252.5	-5.9775360112
253	-5.98929270665
253.5	-5.98929270665
254	-5.98458952964
254.5	-5.9775360112
255	-5.99399654909
255.5	-5.97988701778
256	-5.96343346036
256.5	-5.9775360112
257	-5.96813364636
257.5	-5.97283449655
258	-5.9775360112
258.5	-5.98929270665
259	-5.99870105724
259.5	-5.98929270665
260	-5.98929270665
260.5	-6.01046524191
261	-6.0198795895
261.5	-6.0363611213
262	-6.0363611213
262.5	-6.05992036924
263	-6.05049466318
263.5	-6.07170626863
264	-6.06699140638
264.5	-6.07642180119
265	-6.08113800434
265.5	-6.07170626863
266	-6.05756369171
266.5	-6.06227721417
267	-6.07170626863
267.5	-6.05756369171
268	-6.06227721417
268.5	-6.02929660605
269	-6.03871629377
269.5	-6.0198795895
270	-6.02458776402
270.5	-6.00340623138
271	-5.98929270665
271.5	-6.00340623138
272	-5.93759429725
272.5	-5.79466678784
273	-5.64536398605
273.5	-5.57560635842
274	-5.53846136451
274.5	-5.56863854885
275	-5.6104670745
275.5	-5.65001964836
276	-5.69194969904
276.5	-5.70127461066
277	-5.68728821556
277.5	-5.70593803934
278	-5.69661183065
278.5	-5.68728821556
279	-5.70127461066
279.5	-5.70593803934
280	-5.7036062439
280.5	-5.71060211695
281	-5.74326885289
281.5	-5.78765332644
282	-5.82507547102
282.5	-5.86019684829
283	-5.92116162897
283.5	-5.96813364636
284	-6.01517208223
284.5	-6.01517208223
285	-6.03400611587
285.5	-6.05992036924
286	-6.06699140638
286.5	-6.08113800434
287	-6.09293144791
287.5	-6.09765000035
288	-6.09765000035
288.5	-6.12361405576
289	-6.1283369803
289.5	-6.13542263038
290	-6.12361405576
290.5	-6.14014723967
291	-6.14487252337
291.5	-6.15905242365
292	-6.14959848174
292.5	-6.16614465322
293	-6.16378040775
293.5	-6.16614465322
294	-6.16378040775
294.5	-6.1850647035
295	-6.18033367601
295.5	-6.18979640809
296	-6.20162863368
296.5	-6.17087365115
297	-6.15905242365
297.5	-6.15432511507
298	-6.16614465322
298.5	-6.14959848174
299	-6.17087365115
299.5	-6.16378040775
300	-6.17087365115
300.5	-6.19452879005
301	-6.20162863368
301.5	-6.20162863368
302	-6.19452879005
302.5	-6.21583289901
303	-6.22056901162
303.5	-6.21109746534
304	-6.21109746534
304.5	-6.20636271033
305	-6.24188992795
305.5	-6.2324122654
306	-6.24188992795
306.5	-6.23715075656
307	-6.22767445418
307.5	-6.24662977985
308	-6.22767445418
308.5	-6.22767445418
309	-6.22767445418
309.5	-6.23715075656
310	-6.23715075656
310.5	-6.2324122654
311	-6.2324122654
311.5	-6.21109746534
312	-6.22530580346
312.5	-6.20636271033
313	-6.21583289901
313.5	-6.20636271033
314	-6.22767445418
314.5	-6.22530580346
315	-6.22056901162
315.5	-6.2324122654
316	-6.21109746534
316.5	-6.23715075656
317	-6.24662977985
317.5	-6.23715075656
318	-6.22767445418
318.5	-6.23715075656
319	-6.25611152635
319.5	-6.24662977985
320	-6.24188992795
320.5	-6.25137031256
321	-6.26322462471
321.5	-6.25611152635
322	-6.25611152635
322.5	-6.26322462471
323	-6.26796754248
323.5	-6.26322462471
324	-6.27271114234
324.5	-6.26796754248
325	-6.27745542459
325.5	-6.26796754248
326	-6.27271114234
326.5	-6.27745542459
327	-6.26796754248
327.5	-6.26322462471
328	-6.27271114234
328.5	-6.26796754248
329	-6.27271114234
329.5	-6.26322462471
330	-6.27271114234
330.5	-6.26796754248
331	-6.27745542459
331.5	-6.27271114234
332	-6.27745542459
332.5	-6.29406579034
333	-6.27745542459
333.5	-6.2822003895
334	-6.29406579034
334.5	-6.29406579034
335	-6.29406579034
335.5	-6.2893191175
336	-6.29406579034
336.5	-6.30356118734
337	-6.29881314686
337.5	-6.30356118734
338	-6.30830991208
338.5	-6.30830991208
339	-6.2893191175
339.5	-6.30830991208
340	-6.30356118734
340.5	-6.30356118734
341	-6.32493584132
341.5	-6.32018471942
342	-6.30830991208
342.5	-6.32493584132
343	-6.32018471942
343.5	-6.31543428279
344	-6.32968764877
344.5	-6.31543428279
345	-6.31543428279
345.5	-6.32018471942
346	-6.33206380967
346.5	-6.31305932136
347	-6.32018471942
347.5	-6.31068453113
348	-6.32018471942
348.5	-6.32018471942
349	-6.32493584132
349.5	-6.33444014207
350	-6.3510792738
350.5	-6.3510792738
351	-6.3510792738
351.5	-6.35583485698
352	-6.34632437777
352.5	-6.33444014207
353	-6.3391933215
353.5	-6.3415701686
354	-6.3415701686
354.5	-6.34632437777
355	-6.3510792738
355.5	-6.35583485698
356	-6.3510792738
356.5	-6.3510792738
357	-6.3510792738
357.5	-6.34632437777
358	-6.37724349255
358.5	-6.36296952079
359	-6.3724848136
359.5	-6.37724349255
360	-6.3724848136
360.5	-6.3605911276
361	-6.36772682311
361.5	-6.37724349255
362	-6.3605911276
362.5	-6.38200286024
363	-6.36772682311
363.5	-6.39390429466
364	-6.38676291698
364.5	-6.38438280246
365	-6.38676291698
365.5	-6.38676291698
366	-6.38914320382
366.5	-6.3724848136
367	-6.39866607527
367.5	-6.38914320382
368	-6.40342854594
368.5	-6.41295555864
369	-6.41295555864
369.5	-6.40819170697
370	-6.40819170697
370.5	-6.41295555864
371	-6.41295555864
371.5	-6.43440144575
372	-6.42963448255
372.5	-6.43440144575
373	-6.42248533509
373.5	-6.41772010125
374	-6.42963448255
374.5	-6.43440144575
375	-6.43440144575
375.5	-6.42486821131
376	-6.44870649006
376.5	-6.44870649006
377	-6.44870649006
377.5	-6.46063212532
378	-6.45586135107
378.5	-6.4510912704
379	-6.44393744921
379.5	-6.47494861249
380	-6.45586135107
380.5	-6.46063212532
381	-6.42248533509
381.5	-6.35583485698
382	-6.2893191175
382.5	-6.27745542459
383	-6.28457312804
383.5	-6.32968764877
384	-6.37724349255
384.5	-6.39866607527
385	-6.42248533509
385.5	-6.43440144575
386	-6.44393744921
386.5	-6.45586135107
387	-6.4510912704
387.5	-6.45347622405
388	-6.46063212532
388.5	-6.46063212532
389	-6.45824665148
389.5	-6.44870649006
390	-6.45347622405
390.5	-6.44870649006
391	-6.43440144575
391.5	-6.42963448255
392	-6.45824665148
392.5	-6.46063212532
393	-6.4510912704
393.5	-6.46063212532
394	-6.47017575573
394.5	-6.47494861249
395	-6.46063212532
395.5	-6.45586135107
396	-6.44393744921
396.5	-6.46063212532
397	-6.44632188301
397.5	-6.44870649006
398	-6.43440144575
398.5	-6.42486821131
399	-6.44393744921
399.5	-6.44870649006
400	-6.45586135107
400.5	-6.47017575573
401	-6.47017575573
401.5	-6.47494861249
402	-6.48688379459
402.5	-6.47494861249
403	-6.45586135107
403.5	-6.46063212532
404	-6.44393744921
404.5	-6.43440144575
405	-6.4391691012
405.5	-6.44393744921
406	-6.45586135107
406.5	-6.46540359344
407	-6.47017575573
407.5	-6.47494861249
408	-6.479722164
408.5	-6.47494861249
409	-6.47494861249
409.5	-6.48449641057
410	-6.479722164
410.5	-6.479722164
411	-6.46540359344
411.5	-6.47017575573
412	-6.479722164
412.5	-6.47017575573
413	-6.46540359344
413.5	-6.47017575573
414	-6.47494861249
414.5	-6.479722164
415	-6.479722164
415.5	-6.48449641057
416	-6.47494861249
416.5	-6.45347622405
417	-6.4510912704
417.5	-6.44870649006
418	-6.479722164
418.5	-6.479722164
419	-6.50121175136
419.5	-6.50121175136
420	-6.50598912932
420.5	-6.49643506978
421	-6.50121175136
