"Latest: Time (s)","Latest: Temperature (°C)"
108.5,-10.7821467729
109,-10.7876328674
109.5,-10.7711776587
110,-10.7821467729
110.5,-10.7766617035
111,-10.812332991
111.5,-10.8315585862
112,-10.8233175022
112.5,-10.8480477065
113,-10.8783018762
113.5,-10.9196079928
114,-10.9140971417
114.5,-10.9526949167
115,-10.969252428
115.5,-10.9637322155
116,-10.9996322511
116.5,-11.0217465315
117,-11.0604868847
117.5,-11.066025423
118,-11.0604868847
118.5,-11.0521810489
119,-11.0162163909
119.5,-10.9389041496
120,-10.8425503025
120.5,-10.6753721773
121,-10.4711180225
121.5,-10.2413222555
122,-10.013288606
122.5,-9.80555353239
123,-9.58079836043
123.5,-9.37339658897
124,-9.22462726066
124.5,-9.0999084905
125,-8.98602802356
125.5,-8.90862401977
126,-8.83655574537
126.5,-8.80315274566
127,-8.75183409768
127.5,-8.74158060528
128,-8.70828025462
128.5,-8.70316030907
129,-8.71340104886
129.5,-8.70828025462
130,-8.72364518502
130.5,-8.7646557563
131,-8.74670692565
131.5,-8.74158060528
132,-8.7185226922
132.5,-8.70316030907
133,-8.7185226922
133.5,-8.70316030907
134,-8.70060065443
134.5,-8.70828025462
135,-8.72876852773
135.5,-8.7338927207
136,-8.71340104886
136.5,-8.70828025462
137,-8.7185226922
137.5,-8.72364518502
138,-8.74158060528
138.5,-8.75183409768
139,-8.74670692565
139.5,-8.75696212175
140,-8.78004878472
140.5,-8.78774818125
141,-8.79801703538
141.5,-8.81342673462
142,-8.87514275137
142.5,-8.88029134359
143,-8.89316659626
143.5,-8.921511147
144,-8.91635564755
144.5,-8.921511147
145,-8.91120101291
145.5,-8.92666751167
146,-8.93182474196
146.5,-8.97569620596
147,-8.96536786623
147.5,-9.00928734599
148,-9.01704437616
148.5,-9.05068088221
149,-9.04032725401
149.5,-9.05585900919
150,-9.05585900919
150.5,-9.05068088221
151,-9.10768851592
151.5,-9.10250161241
152,-9.0999084905
152.5,-9.0947229061
153,-9.10250161241
153.5,-9.11287629936
154,-9.0999084905
154.5,-9.10768851592
155,-9.13623222493
155.5,-9.16220420726
156,-9.20640734066
156.5,-9.17519848529
157,-9.13623222493
157.5,-9.10768851592
